data,id_funcionario,funcao,horas_trabalhadas,taxa_hora_brl
2024-05-01,FUNC1000,garçom,6.7,8.18
2024-05-01,FUNC1008,garçom,4.9,8.18
2024-05-01,FUNC1009,garçom,6.9,8.18
2024-05-01,FUNC1010,garçom,7.0,8.18
2024-05-01,FUNC1002,garçom,7.0,8.18
2024-05-01,FUNC1014,cozinheiro,6.1,12.73
2024-05-01,FUNC1012,cozinheiro,7.0,12.73
2024-05-01,FUNC1016,cozinheiro,7.9,12.73
2024-05-01,FUNC1017,cozinheiro,6.3,12.73
2024-05-01,FUNC1019,cozinheiro,7.9,12.73
2024-05-01,FUNC1013,cozinheiro,9.8,12.73
2024-05-01,FUNC1021,recepcionista,4.6,9.09
2024-05-01,FUNC1025,entregador,6.9,10.0
2024-05-01,FUNC1029,entregador,4.3,10.0
2024-05-01,FUNC1026,entregador,6.5,10.0
2024-05-01,FUNC1027,entregador,5.1,10.0
2024-05-01,FUNC1031,bartender,6.7,10.91
2024-05-01,FUNC1030,bartender,4.0,10.91
2024-05-02,FUNC1002,garçom,6.6,8.18
2024-05-02,FUNC1004,garçom,5.1,8.18
2024-05-02,FUNC1006,garçom,7.4,8.18
2024-05-02,FUNC1003,garçom,5.2,8.18
2024-05-02,FUNC1008,garçom,7.6,8.18
2024-05-02,FUNC1005,garçom,4.2,8.18
2024-05-02,FUNC1017,cozinheiro,7.8,12.73
2024-05-02,FUNC1014,cozinheiro,9.0,12.73
2024-05-02,FUNC1016,cozinheiro,8.9,12.73
2024-05-02,FUNC1019,cozinheiro,8.9,12.73
2024-05-02,FUNC1015,cozinheiro,8.3,12.73
2024-05-02,FUNC1018,cozinheiro,7.9,12.73
2024-05-02,FUNC1023,recepcionista,5.9,9.09
2024-05-02,FUNC1027,entregador,4.7,10.0
2024-05-02,FUNC1025,entregador,4.3,10.0
2024-05-02,FUNC1024,entregador,4.1,10.0
2024-05-02,FUNC1031,bartender,6.6,10.91
2024-05-02,FUNC1033,bartender,6.4,10.91
2024-05-02,FUNC1030,bartender,5.1,10.91
2024-05-03,FUNC1007,garçom,7.2,8.18
2024-05-03,FUNC1009,garçom,6.1,8.18
2024-05-03,FUNC1004,garçom,7.8,8.18
2024-05-03,FUNC1001,garçom,5.6,8.18
2024-05-03,FUNC1002,garçom,4.4,8.18
2024-05-03,FUNC1006,garçom,5.2,8.18
2024-05-03,FUNC1003,garçom,4.9,8.18
2024-05-03,FUNC1010,garçom,4.7,8.18
2024-05-03,FUNC1005,garçom,7.8,8.18
2024-05-03,FUNC1017,cozinheiro,8.1,12.73
2024-05-03,FUNC1015,cozinheiro,7.2,12.73
2024-05-03,FUNC1014,cozinheiro,8.7,12.73
2024-05-03,FUNC1012,cozinheiro,8.5,12.73
2024-05-03,FUNC1018,cozinheiro,8.9,12.73
2024-05-03,FUNC1016,cozinheiro,6.7,12.73
2024-05-03,FUNC1019,cozinheiro,7.1,12.73
2024-05-03,FUNC1013,cozinheiro,9.2,12.73
2024-05-03,FUNC1023,recepcionista,5.5,9.09
2024-05-03,FUNC1022,recepcionista,4.7,9.09
2024-05-03,FUNC1028,entregador,4.2,10.0
2024-05-03,FUNC1024,entregador,5.4,10.0
2024-05-03,FUNC1026,entregador,4.9,10.0
2024-05-03,FUNC1030,bartender,5.1,10.91
2024-05-03,FUNC1032,bartender,4.4,10.91
2024-05-03,FUNC1031,bartender,7.6,10.91
2024-05-03,FUNC1034,bartender,7.9,10.91
2024-05-04,FUNC1003,garçom,7.6,8.18
2024-05-04,FUNC1011,garçom,4.5,8.18
2024-05-04,FUNC1007,garçom,6.0,8.18
2024-05-04,FUNC1008,garçom,7.2,8.18
2024-05-04,FUNC1009,garçom,5.9,8.18
2024-05-04,FUNC1004,garçom,5.9,8.18
2024-05-04,FUNC1005,garçom,5.7,8.18
2024-05-04,FUNC1002,garçom,6.5,8.18
2024-05-04,FUNC1006,garçom,4.3,8.18
2024-05-04,FUNC1018,cozinheiro,7.6,12.73
2024-05-04,FUNC1017,cozinheiro,7.8,12.73
2024-05-04,FUNC1012,cozinheiro,8.3,12.73
2024-05-04,FUNC1019,cozinheiro,6.3,12.73
2024-05-04,FUNC1016,cozinheiro,9.3,12.73
2024-05-04,FUNC1014,cozinheiro,6.4,12.73
2024-05-04,FUNC1013,cozinheiro,9.6,12.73
2024-05-04,FUNC1015,cozinheiro,9.8,12.73
2024-05-04,FUNC1022,recepcionista,4.9,9.09
2024-05-04,FUNC1023,recepcionista,5.6,9.09
2024-05-04,FUNC1028,entregador,7.7,10.0
2024-05-04,FUNC1026,entregador,6.0,10.0
2024-05-04,FUNC1025,entregador,6.2,10.0
2024-05-04,FUNC1034,bartender,8.0,10.91
2024-05-04,FUNC1030,bartender,6.7,10.91
2024-05-04,FUNC1031,bartender,5.9,10.91
2024-05-04,FUNC1033,bartender,5.8,10.91
2024-05-05,FUNC1003,garçom,6.1,8.18
2024-05-05,FUNC1001,garçom,4.8,8.18
2024-05-05,FUNC1000,garçom,7.1,8.18
2024-05-05,FUNC1004,garçom,6.8,8.18
2024-05-05,FUNC1008,garçom,4.4,8.18
2024-05-05,FUNC1006,garçom,7.0,8.18
2024-05-05,FUNC1011,garçom,4.9,8.18
2024-05-05,FUNC1005,garçom,5.5,8.18
2024-05-05,FUNC1009,garçom,7.9,8.18
2024-05-05,FUNC1010,garçom,5.2,8.18
2024-05-05,FUNC1015,cozinheiro,9.8,12.73
2024-05-05,FUNC1016,cozinheiro,6.6,12.73
2024-05-05,FUNC1012,cozinheiro,8.5,12.73
2024-05-05,FUNC1013,cozinheiro,8.8,12.73
2024-05-05,FUNC1019,cozinheiro,8.8,12.73
2024-05-05,FUNC1014,cozinheiro,8.1,12.73
2024-05-05,FUNC1018,cozinheiro,6.5,12.73
2024-05-05,FUNC1017,cozinheiro,8.7,12.73
2024-05-05,FUNC1023,recepcionista,5.1,9.09
2024-05-05,FUNC1021,recepcionista,5.6,9.09
2024-05-05,FUNC1022,recepcionista,5.7,9.09
2024-05-05,FUNC1029,entregador,6.7,10.0
2024-05-05,FUNC1028,entregador,6.8,10.0
2024-05-05,FUNC1025,entregador,8.0,10.0
2024-05-05,FUNC1032,bartender,4.5,10.91
2024-05-05,FUNC1034,bartender,4.0,10.91
2024-05-05,FUNC1031,bartender,4.6,10.91
2024-05-05,FUNC1033,bartender,6.1,10.91
2024-05-05,FUNC1030,bartender,6.3,10.91
2024-05-06,FUNC1011,garçom,7.6,8.18
2024-05-06,FUNC1004,garçom,7.5,8.18
2024-05-06,FUNC1002,garçom,4.2,8.18
2024-05-06,FUNC1006,garçom,7.0,8.18
2024-05-06,FUNC1001,garçom,7.7,8.18
2024-05-06,FUNC1003,garçom,6.8,8.18
2024-05-06,FUNC1017,cozinheiro,7.1,12.73
2024-05-06,FUNC1019,cozinheiro,7.5,12.73
2024-05-06,FUNC1012,cozinheiro,6.2,12.73
2024-05-06,FUNC1014,cozinheiro,7.8,12.73
2024-05-06,FUNC1016,cozinheiro,8.0,12.73
2024-05-06,FUNC1018,cozinheiro,6.1,12.73
2024-05-06,FUNC1022,recepcionista,4.8,9.09
2024-05-06,FUNC1024,entregador,4.9,10.0
2024-05-06,FUNC1028,entregador,5.0,10.0
2024-05-06,FUNC1029,entregador,6.5,10.0
2024-05-06,FUNC1032,bartender,6.0,10.91
2024-05-06,FUNC1031,bartender,6.1,10.91
2024-05-06,FUNC1034,bartender,7.5,10.91
2024-05-07,FUNC1005,garçom,5.1,8.18
2024-05-07,FUNC1006,garçom,4.6,8.18
2024-05-07,FUNC1000,garçom,6.3,8.18
2024-05-07,FUNC1004,garçom,5.1,8.18
2024-05-07,FUNC1002,garçom,7.9,8.18
2024-05-07,FUNC1007,garçom,7.8,8.18
2024-05-07,FUNC1012,cozinheiro,7.8,12.73
2024-05-07,FUNC1015,cozinheiro,7.2,12.73
2024-05-07,FUNC1013,cozinheiro,6.1,12.73
